,Tweet,User - Location,User - Followers,Classificacao,Sentimento,NaiveBayes
3055,ora dai grac ministr populaca ta acredit investigaco polic feder dinh deix rastr nov grac ministr #stfvergonhanac dinh desvi pod ser rastre,"Rua Caraíbas, Vila Pompéia, SP",1010,Negativo,0,Negativo
866,vai tom cu caralh,,101,Negativo,0,Negativo
1276,parab,"porto ferreira-sp, Brasil",3515,Positivo,1,Positivo
1466,apreend quas 3 tonel cocain port sant litor sp drog escond carg bobin alumini lev holand mai apreensa cocain ja feit local,,4,Positivo,1,Positivo
1887,aca fiscalizaca acontec ambit operaca escud apreend 320 mil mercad saib mais #receitafeder #adu #operacaoescud,Praia Grande - SP,1122,Positivo,1,Positivo
1860,federl ampli ate 31 marc 2021 dispens necess apresent document orig cop autentic solic serv prest esclarec saib mais #rfb #receitafeder #praz #serv,Brasil ,8,Positivo,1,Positivo
497,5a pc alici esquem respond vulg feir negoc venda+revend b o incidenc queim arqu contr feder procur adid intel diplomat 6situaca perpetuas ha 30an 8200],"New York, NY",12,Neutro,2,Negativo
2673,vam aguard,"Teresina, Brasil",94,Negativo,0,Negativo
3024,odei tod forc band incompet,,44,Negativo,0,Negativo
191,man c qu pag cont tamb ta argument qu fal vid pessoal deplora vai respond tweet discussa idiot mer to us mat temp investig dia pal bitch,Puta Que Pariu,27,Neutro,2,Negativo
1681,pf junt deflagr 79a fas #lavajat denomin vernissag nest fas investigaco esta concentr esquem compr obr art lav capit oriund pag propin,Brasil,3050,Positivo,1,Positivo
1667,#balanc | gued prim combat cam + vulnera populaca fic disposica imped exportaca produt precisav us ventil pulmon reduz tarif 500 produt medic hospital, Brasil,87,Positivo,1,Positivo
858,dua pergunt basic vai trat #cloroquin esp jair receb deposit outr hom,"Valinhos, Brasil",2016,Neutro,2,Neutro
1829,drog carg goiab export antuerp belg carg selecion conferenc mei criteri obje analis risc inclu inspeca intrus imag escan #acoesdareceit #adu #rfb #sant,"Análise, Antártica",203,Positivo,1,Positivo
1388,3o grup logis prest apoi transport mater do doaco esta it medicoshospital equip eletron informa #maoamig #juntossomosmaisfort,"Brasília, Brasil",6,Positivo,1,Positivo
2461,tod boicot ford ford abandon brasil brasil dev boicot produt govern dev exig dess espertalho devoluca r$20 bilho impost q dispens d pag desd 1999 segund feder vao emb pq quer +,"Recife, Brazil",2645,Negativo,0,Negativo
14,dess jeit vai bat aqu cas ja carol,,354,Neutro,2,Neutro
969,#esoc | quas seil milho empreg domes pal ja pod pag gui document arrecadaca simpl domes mei qr cod #pix vej inovaca implement #serpr,Brasil,21059,Positivo,1,Positivo
1742,#arrecadaca arrecadaca total receit feder ating novembr 2020 val 140 101 milho period acumul jan novembr 2020 arrecadaca alcanc val 1 320 325 milho saib mais #rfb,,1499,Positivo,1,Positivo
1700,pf junt deflagr 79a fas #lavajat denomin vernissag nest fas investigaco esta concentr esquem compr obr art lav capit oriund pag propin,,200,Positivo,1,Positivo
2137,olh ali atr hom ult liv presid camis brasil mostr cicatriz coraca mandett decapit ue mandett pod tir mulh claqu favor foc brasil fatur 1 milha blogu,"Belo Horizonte, Brasil",66,Neutro,2,Neutro
60,pergunt form conseg cobr kkkk,"Flores da Cunha, Brasil",614,Negativo,0,Negativo
1143,so quer telefon funcion email contat decent ta impossi,,24,Negativo,0,Negativo
1019,apreend quas 3 tonel cocain port sant litor sp drog escond carg bobin alumini lev holand mai apreensa cocain ja feit local,,180835,Positivo,1,Positivo
348,depend assunt obrig cidada abr firm vari cartori bast exist cadastr unic assinat cartori consult hor reconhec firm,,11,Neutro,2,Positivo
2618,ja 2000 vag hoj quas 7 ano concurs audi quas 9 anal,Brasil,936,Negativo,0,Positivo
1564,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,Estados Unidos,3096,Positivo,1,Positivo
1076,comec ano cans,Juiz de Fora,108,Neutro,2,Negativo
376,verdad navi br par tod caminho carr mot verific habilitaca drog identific mei inspeca naval navi patrulh guaratib,"Niterói, Brasil",15,Positivo,1,Negativo
1163,juiz osc anib chiapp 2 liv miam mim bande v via,São Paulo/SP,1753,Neutro,2,Neutro
2659,caix lib emprest ate 100 mil consult spc seras | red jorn contavel contabil mei credit ins,Natal - Rio Grande do Norte,9358,Neutro,2,Neutro
1132,olh sempr negoci famil eduard pazuell mir faz temp nunc esquec sei por sao orga est govern operaca sauv,Brasil,35030,Neutro,2,Neutro
1790,#record manh 22/12 equip alfandeg sant apreend 2 932 kg cocain drog cuidados ocult carreg bobin alumini destin port roterd holand saib mais #rfb #adu,Brasil ,8,Positivo,1,Positivo
925,parab pessoal pr gost rf por ser apreensa sid feit pf ja est twitt del,"Salvador, Brasil",158,Positivo,1,Negativo
2107,contribuint declaraca ret malh concord val lanc ja pod apresent defês mei ecac necess comparec unidad atend,,387,Positivo,1,Positivo
3008,muit vid perd muit famil perd tud dur pandem caus trabalh so tod outr emis fara cobr fatur,,345,Negativo,0,Negativo
2007,flavi bolsonar advog tre reunio ped dad ate aparelh,"Mogi Guaçu, Brasil",465,Negativo,0,Negativo
1708,pf junt deflagr 79a fas #lavajat denomin vernissag nest fas investigaco esta concentr esquem compr obr art lav capit oriund pag propin,Brasil ,12888,Positivo,1,Positivo
2737,port simpl nacion emissa venc dia 20 pratic ar doi dia proposit,Brasil,531,Negativo,0,Negativo
2615,ger quant bat port mae ger bast ate hj nunc deu nad,"Salvador, Bahia",386,Neutro,2,Negativo
2120,pendenc cpf pod ser regular canal virtual correca gratuit internet cust 7 real cas contribuint opt utiliz red conveni cartori,"Belo Horizonte, Brasil",426,Positivo,1,Positivo
2804,desd inici seman pass sext apic um 30 aind termin estrag funcion sei problem dess gent govern sao mirim demal,"Sao Paulo, Brazil",25650,Negativo,0,Negativo
1288,parab,"São Caetano do Sul, Brasil",2224,Positivo,1,Positivo
143,#parabenscasacivil,,38,Positivo,1,Negativo
2676,efeit operaco / / combat traf abstinenc,,122,Negativo,0,Positivo
1929,it encontr hav tv box rastre internet calc ocul bols outr saib mais #receitafeder #adu #apreensa,"São Paulo, Brasil",5,Positivo,1,Positivo
669,serv mal funcion ond funcionari pod dar informaco kkkkkkk parab beliss trabalh,"Rio Verde, Brasil",144,Negativo,0,Negativo
922,relatori abin funcionari pap advog enta,"São José dos Campos, Brasil",40,Negativo,0,Negativo
161,escravida pedofil traf orga prostituica tud legal ancapista,"São Paulo, Brasil",612,Neutro,2,Neutro
643,assim precis cpf tir segund via cpf,𝘺𝘰𝘶𝘳  𝘩𝘦𝘢𝘳𝘵 ♡,10,Negativo,0,Negativo
2021,flavi bolsonar advog tre reunio ped dad ate aparelh,,627,Negativo,0,Negativo
3068,precis apur transmit simpl nacion part calcul port simpl simples cai atenca esta quer receb coaca mult jur,,580,Negativo,0,Negativo
2006,flavi bolsonar advog tre reunio ped dad ate aparelh,"Belo Horizonte, Brasil",7484,Negativo,0,Negativo
2589,acord jos mar trindad patrimoni declar brun cov 105 mil seri declar iss seri tse acredit car ja deput engenh cl med fez salari liter queim,"Rio de Janeiro, Brasil",2109,Negativo,0,Negativo
2806,neus trabalh are fiscal ger darf empr arrecad ench cofr govern ha seman sistem simpl nacion ar venc dia 21/01 sab fiz emit not nad mais zon,"Sao Paulo, Brazil",25650,Negativo,0,Negativo
1058,bitcoim x capit soc doi lad moed acab autor integralizaca capit soc criptomoed ja consider ativ financ volatil pont atenca lei #bitcoin,"ÜT: -23.576362,-46.665479",5394,Positivo,1,Positivo
585,#lcdpr livr caix digit produt rural relaca respost pergunt 37 fic cas produt pag antecipad atrav var cont banc prud receb us cont 999,brasil,24,Neutro,2,Neutro
1412,pendenc cpf pod us canal virtual faz regularizaca sab situaca cadastr contribuint dev acess sit baix aplic cpf digit celul abr,"Rio de Janeiro, Brasil",3334,Positivo,1,Positivo
1732,#arrecadaca arrecadaca total receit feder ating novembr 2020 val 140 101 milho period acumul jan novembr 2020 arrecadaca alcanc val 1 320 325 milho saib mais #rfb,,0,Positivo,1,Positivo
1888,aca fiscalizaca acontec ambit operaca escud apreend 320 mil mercad saib mais #receitafeder #adu #operacaoescud, SAO PAULO - SP ,734,Positivo,1,Positivo
1259,norm agiliz importaca vacin contr #covid_19 segund nov norm public hoj #vacin pass faz part list mercad dev ter entreg priorit amand perobell / reut /,Brazil,47841,Positivo,1,Positivo
2934,faz denunc empr fantasm,cidade  de  contagem M.G.,1292,Neutro,2,Neutro
2646,apes ter sid legitim eleit hoj pra poli proautoritar desprez process eleitor suspeit intervenca cooptaca instituico abin polic feder ha metod ness atitud #bolsonaroarmagolp,Rio de Janeiro,1784,Neutro,2,Neutro
1349,in with the historic seizur of 3 ton of cocain in theof sant the drug wa concealed in aluminum coil destined count on s continued support,,695,Positivo,1,Neutro
1634,outr cois aparelh orga est nixon acab lev renunc assist film tod hom presid aqu brasil pi anuenc congress stf bolsonar faz q faz sab q blind,,1437,Negativo,0,Negativo
2164,parc rend frut menin dev rim bolsonar geni tir proveit parc form faz,"Lisbona, Portugal",246,Negativo,0,Negativo
2466,vou denunci,,142,Neutro,2,Negativo
2034,flavi bolsonar advog tre reunio ped dad ate aparelh,garca,334,Negativo,0,Negativo
1582,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,,554,Positivo,1,Positivo
1365,correca pendenc relat #cpf gratuit internet ou cas contribuint opt utiliz red conveni cartori cust 7,Brasil,334,Positivo,1,Positivo
2888,us microsoft edg aqu funcion,,0,Neutro,2,Neutro
500,utc 2em extadat rastre meli invad sistem ouvid port url=bibliotec pre rep mesm url invad declar ir quadruplicidades21 cpfs+multiplicidade21 cnpj,"New York, NY",12,Negativo,0,Negativo
1459,merend lix,,1238,Neutro,2,Neutro
1917,aca realiz est sao paul apreend aproximad 300 tonel mercad import avali 23 milho dev fraude/simulaca saib mais #receitafeder #adu #apreensa,Brasil ,8,Positivo,1,Positivo
937,decapit,"CONSELHEIRO MATA,  DIAMANTINA",689,Neutro,2,Neutro
1188,norm qualqu pesso pod ped atend person secretari telefon 146,"Distrito Federal, Brasil",283,Negativo,0,Negativo
1087,daqu trinch mandat consegu document deix clar uso atrapalh apuraca judic crim filh presid usa maquin proteg filh amig milici,"Brasília, Brazil",4139,Neutro,2,Neutro
1751,#cpf atend cpf cartori registr civil ja real tod brasil saib mais #rfb #cpf #cartori #atend #receitafeder,Brumado BA.,2415,Positivo,1,Positivo
850,ach cas estud ser alt ineficaz control fortun consegu atrapalh grand dinh,Brasil,100,Negativo,0,Neutro
1641,atend ta pi sei que tent var man entr contat pessoal trabalh aqu cidad impossi resolv atualizaca cpf,no coração da Mimi ,384,Negativo,0,Negativo
1650,#atend | inform pendenc relat cadastr pesso fisic cpf pod ser regular mei canal virtual atend vem sab mais,"Av. Presidente Vargas, 482 Sl.",10,Positivo,1,Positivo
2628,amg ach q sit vc conseg segund via not loj,,284,Neutro,2,Negativo
2594,gent ceu qu diz agor tod administraca publ brasil trabalh funca filh presid bolsonar abin serpr feder so ment doent esquerd jorn desonest globolix,"Salvador, Brasil",1447,Negativo,0,Negativo
1933,mudanc ating apen empr obrig declaraca debit credit tributari feder previdenciari outr entidad fund dctfweb saib mais #receitafeder #servicosger #gfip,Brasil ,8,Positivo,1,Neutro
1562,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,,3480,Positivo,1,Positivo
2963,atenca profiss public instruca norm in rfb 2003/2021 form praz apresentaca ecd sab acesss #somoscontabel #ecd,Brasília-DF,23934,Neutro,2,Negativo
1584,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,Brazil,200,Positivo,1,Positivo
2712,port simpl nacion part emissa que venc dia 20/01 vai fic ar ate dia desd seman retras ruim seman pass ca cao par vez pod resolv favor,Brasil,531,Negativo,0,Negativo
275,mau poli sobreviv #impeachmentdebolsonarourg #lulanacade #queremosvacin urgent #forabolsonar,,56,Neutro,2,Negativo
478,vit gent ja sab so sab faz bosta pergunt faz bost melhor,"Santo Amaro, São Paulo",299,Neutro,2,Negativo
2640,apreensa faz part operaca rotin fiscalizaca invas realiz seca remess postal express raiox correi,Rio de Janeiro - Brasil,76259,Positivo,1,Positivo
88,reform tribut nad brig poli ano tod ai sim,Reino Unido,24,Neutro,2,Neutro
1952,autu 3 994 contribuint autorregulariz autu contribuint regulariz apo ter sid alert inconsistenc declaraco saib mais #rfb #regularizaca #fiscalizaca,"Fortaleza, Ceará, Brasil",1768,Positivo,1,Positivo
1184,norm agiliz importaca vacin contr #covid_19 segund nov norm public hoj #vacin pass faz part list mercad dev ter entreg priorit amand perobell / reut /,"Brasília - DF, Brasil",161070,Positivo,1,Positivo
1920,aca realiz est sao paul apreend aproximad 300 tonel mercad import avali 23 milho dev fraude/simulaca saib mais #receitafeder #adu #apreensa,,691,Positivo,1,Positivo
2265,peg serv extern faz regularizaca declaraco ser entreg ja acab 2016 falt 17 18 19 ihuuu,Matão-SP,414,Negativo,0,Negativo
2350,fech hist contrat vai banc ond vc cont comet crim bloquei dinh banc bem tod client ach val contrat,"Rio de Janeiro, Brasil",83,Neutro,2,Neutro
2040,flavi bolsonar advog tre reunio ped dad ate aparelh,,1116,Negativo,0,Negativo
916,olh ai favor,,259,Neutro,2,Neutro
1274,parab,"João Pessoa, Brasil",2257,Positivo,1,Positivo
2755,precis apur transmit simpl nacion part calcul port simpl simples cai atenca esta quer receb coaca mult jur,,5,Negativo,0,Negativo
898,ach vai dar nad sei vai ser bem assim,,9,Neutro,2,Negativo
382,cad audit cont banc bem ser ning desconf patrimoni sofr alteraco cad band solt,,87,Negativo,0,Negativo
1760,#cpf atend cpf cartori registr civil ja real tod brasil saib mais #rfb #cpf #cartori #atend #receitafeder,"Rio de Janeiro, Brazil",38,Positivo,1,Positivo
2539,agend horari prov pobr,,47,Negativo,0,Neutro
1794,#record manh 22/12 equip alfandeg sant apreend 2 932 kg cocain drog cuidados ocult carreg bobin alumini destin port roterd holand saib mais #rfb #adu,"Vallo della Lucania, Campania",292,Positivo,1,Positivo
1183,pal bolsonar soneg dia 15 jan ha atualizaca app carn lea 2021,,14920,Negativo,0,Negativo
1668,#balanc | gued prim combat cam + vulnera populaca fic disposica imped exportaca produt precisav us ventil pulmon reduz tarif 500 produt medic hospital,"Manaus, Brasil",497,Positivo,1,Positivo
1054,arrecadaca melhor desempenh novembr seil ano marcel camargo/agenc brasil,"Brasília - DF, Brasil",160820,Positivo,1,Positivo
2642,audi atac supost ajud abin flavi mai escandal pal #silenceday #bolsonar via,São Paulo,10409,Neutro,2,Negativo
111,gmt+05 00 dat nation foiaport gov the basic function of the freedom of information act is to ensur informed citiz vital to the functioning of democratic society,"New York, NY",12,Neutro,2,Neutro
2093,inform program ger document arrecadaca simpl nacion microempreend individ pgm send ajust adequaca calcul #ins bas nov val salari min agenc brasil /arq,Curitiba-Brazil -Creci20968f,1439,Positivo,1,Positivo
2917,adiant polic faz tod trabalh final pesso pod fic pres so pobr fic pres iss crim contr human fic pres rest vid cade ver brasil ia frent,,41,Neutro,2,Neutro
857,dev ter vergonh diz esta tir dinh pov enquant tent recuper merd vc fiz,Brasil,2956,Negativo,0,Negativo
3026,lib muamb pro ja pag 60 fucking % impost caus so 10 dol mais,𝙸𝚗𝚍𝚎𝚝𝚎𝚛𝚖𝚒𝚗𝚊𝚍𝚊,1627,Negativo,0,Negativo
838,decemb 5 2021,,2,Neutro,2,Positivo
243,gmt+01 00 4datafilesopenarchiev nation foiaport gov the basic function of the freedom of information act is to ensur informed citiz vital to the functioning of democratic society reu op resgat pec furtadas+lav dinh,"New York, NY",12,Neutro,2,Neutro
960,#atend | inform pendenc relat cadastr pesso fisic cpf pod ser regular mei canal virtual atend vem sab mais,"Brasília, DF, Brasil",694939,Positivo,1,Positivo
1595,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,"Pernambuco, Brasil",3232,Positivo,1,Positivo
684,problem cpf faz compr onlin fac,"São Paulo, Brasil",57,Neutro,2,Negativo
66,so pirat pro outr nao,,42,Neutro,2,Neutro
1538,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,,126,Positivo,1,Positivo
1248,ignoranc,"-8.125622,-34.902903",1234,Neutro,2,Neutro
562,hom q ocup carg q investig poli corrupt sao indic ele jus so func q quer and corret,"Bahia, Brasil",1652,Neutro,2,Negativo
414,envi manifestaca ouvid perd temp,"Rio de Janeiro, RJ",562,Negativo,0,Negativo
1416,forc arm apreend 2 milho mac cigarr sergip mater apreend milit contabil perici alem ter sid classific contrab conf mat complet defês,,249,Positivo,1,Positivo
2072,flavi bolsonar advog tre reunio ped dad ate aparelh,São Paulo,825,Negativo,0,Negativo
1173,cab respons operacional ate ingerenc tal assunt agor volt contat sab encomend volt norueg ja unic chanc receb premi mand nov,"São Vicente, Brasil",283,Neutro,2,Negativo
2167,vai tom cu detran 1000 real ipv vc enfi dinh rab band incompet,"João Monlevade, Brasil",488,Negativo,0,Negativo
1422,forc arm apreend 2 milho mac cigarr sergip mater apreend milit contabil perici alem ter sid classific contrab conf mat complet defês,"Campinas, Brasil",1239,Positivo,1,Positivo
835,parab #adu brasil aduan brasil atu combat crim transfronteir tmj,Estados Unidos,549,Positivo,1,Positivo
1326,contribuint declaraca ret malh concord val lanc ja pod apresent defês mei ecac necess comparec unidad atend,Brasil,331309,Positivo,1,Positivo
2297,com bund deu,teamwork makes the dream work!,201,Negativo,0,Neutro
1385,y del #esequibovenezol,,95,Neutro,2,Neutro
1859,feder polic ministeri publ deflagr hoj 12/01 79a fas operaca lav jat denomin operaca vernissag saib mais #receitafeder #fiscalizaca #lavajat,Guarabira -PB,556,Positivo,1,Positivo
2928,vem fortal,Brasil,3612,Neutro,2,Positivo
2949,follow the money,,1047,Neutro,2,Neutro
1415,forc arm apreend 2 milho mac cigarr sergip mater apreend milit contabil perici alem ter sid classific contrab conf mat complet defês,,1433,Positivo,1,Positivo
2616,quebr tabu kkkkkkk,"Vitória, Brasil",153,Neutro,2,Negativo
1730,#areceitafederalnaop apreend 670 kg cocain carg goiab port sant soment 2020 alfandeg sant intercept 20 5 tonel cocain carg exportaca destin europ saib mais,Recife - PE,697,Positivo,1,Positivo
122,ta ai gent discut crimin possi relativiz escravida,"Santo Amaro, São Paulo",299,Neutro,2,Negativo
1884,aca fiscalizaca acontec ambit operaca escud apreend 320 mil mercad saib mais #receitafeder #adu #operacaoescud,,17,Positivo,1,Positivo
322,quebr div impaga govern emprest regular abr loj nov fal facil quer ver ajud fat,Brasil,340,Neutro,2,Negativo
1898,aca fiscalizaca acontec ambit operaca escud apreend 320 mil mercad saib mais #receitafeder #adu #operacaoescud,,113,Positivo,1,Positivo
2331,sindic feder parasit inception,www.gamingroom.net,1206,Neutro,2,Negativo
102,unic cois import #abin atuaca altiv independ vir nenhum ilicit ate agor,Papuda,75,Positivo,1,Negativo
1853,seg trabalh simplific vid cidada brasil estabelec parc busc inovaco tecnolog,"Distrito Federal, Brasil",6174,Positivo,1,Positivo
2437,olh q louc polic feder mpf usa convers traf ileg mad cont cresc apreenso mad brasil ta falt algu ai ah conden proib ibam viaj,,111,Neutro,2,Neutro
2658,cruzagraf projet cruz dad empr brasil tse gast eleitor grac associ abraj pod ped acess aqu >,Brazil,4930,Neutro,2,Neutro
1198,fez port tud dificil local,"iPhone: 0.000000,0.000000",660,Negativo,0,Negativo
1429,forc arm apreend 2 milho mac cigarr sergip mater apreend milit contabil perici alem ter sid classific contrab conf mat complet defês,São Gonçalo do Amarante/RN,1147,Positivo,1,Positivo
26,cobr,,29,Neutro,2,Negativo
2502,odei #globolix odei,,205,Negativo,0,Negativo
1950,apreend 575 50 kg cocain port paranagu quart apreensa realiz soment me dezembr saib mais #rfb #apreensa #paranagu #adu #acoesdareceit #receitafeder,"Distrito Federal, Brasil",6174,Positivo,1,Positivo
1404,comec ano cans,,18185,Positivo,1,Negativo
757,favor fac trabalh,só os loco sabi,720,Negativo,0,Negativo
1925,it encontr hav tv box rastre internet calc ocul bols outr saib mais #receitafeder #adu #apreensa,"Rio de Janeiro, Brasil",205,Positivo,1,Positivo
1801,#record manh 22/12 equip alfandeg sant apreend 2 932 kg cocain drog cuidados ocult carreg bobin alumini destin port roterd holand saib mais #rfb #adu,,306,Positivo,1,Positivo
1199,oi pod liber memor ram cust menos u$ 50 gost ter pag quas dobr val impost,,640,Negativo,0,Negativo
1536,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,Brasil,3426,Positivo,1,Positivo
1070,caiu malh fin,Brasil,274,Positivo,1,Positivo
2446,olh pens lavajat ganh corp,,966,Neutro,2,Neutro
2925,prend ta blind govern sp prend tamb,,113,Neutro,2,Negativo
3004,parab,São José dos Campos - SP,550,Positivo,1,Positivo
